accesskeys,"Access keys let users quickly focus a part of the page. For proper navigation, each access key must be unique."
aria_allowed_attr,Each ARIA `role` supports a specific subset of `aria-*` attributes. Mismatching these invalidates the `aria-*` attributes.
aria_allowed_role,Many HTML elements can only be assigned certain ARIA roles. Using ARIA roles where they are not allowed can interfere with the accessibility of the web page.
aria_command_name,"When an element doesn't have an accessible name, screen readers announce it with a generic name, making it unusable for users who rely on screen readers."
aria_conditional_attr,Some ARIA attributes are only allowed on an element under certain conditions.
aria_deprecated_role,Deprecated ARIA roles may not be processed correctly by assistive technology.
aria_dialog_name,ARIA dialog elements without accessible names may prevent screen readers users from discerning the purpose of these elements.
aria_hidden_body,"Assistive technologies, like screen readers, work inconsistently when `aria-hidden=""true""` is set on the document `<body>`."
aria_hidden_focus,"Focusable descendents within an `[aria-hidden=""true""]` element prevent those interactive elements from being available to users of assistive technologies like screen readers."
aria_input_field_name,"When an input field doesn't have an accessible name, screen readers announce it with a generic name, making it unusable for users who rely on screen readers."
aria_meter_name,"When a meter element doesn't have an accessible name, screen readers announce it with a generic name, making it unusable for users who rely on screen readers."
aria_progressbar_name,"When a `progressbar` element doesn't have an accessible name, screen readers announce it with a generic name, making it unusable for users who rely on screen readers."
aria_prohibited_attr,Using ARIA attributes in roles where they are prohibited can mean that important information is not communicated to users of assistive technologies.
aria_required_attr,Some ARIA roles have required attributes that describe the state of the element to screen readers.
aria_required_children,Some ARIA parent roles must contain specific child roles to perform their intended accessibility functions.
aria_required_parent,Some ARIA child roles must be contained by specific parent roles to properly perform their intended accessibility functions.
aria_roles,ARIA roles must have valid values in order to perform their intended accessibility functions.
aria_text,"Adding `role=text` around a text node split by markup enables VoiceOver to treat it as one phrase, but the element's focusable descendents will not be announced."
aria_toggle_field_name,"When a toggle field doesn't have an accessible name, screen readers announce it with a generic name, making it unusable for users who rely on screen readers."
aria_tooltip_name,"When a tooltip element doesn't have an accessible name, screen readers announce it with a generic name, making it unusable for users who rely on screen readers."
aria_treeitem_name,"When a `treeitem` element doesn't have an accessible name, screen readers announce it with a generic name, making it unusable for users who rely on screen readers."
