
bootup-time,metricSavings
button-name,notApplicable
bypass,notApplicable
cache-insight,metricSavings
clickjacking-mitigation,notApplicable
cls-culprits-insight,informative
color-contrast,binary
crawlable-anchors,binary
critical-request-chains,informative
csp-xss,informative
cumulative-layout-shift,numeric
custom-controls-labels, 
custom-controls-roles, 
definition-list,notApplicable
deprecations,binary
diagnostics,informative
dlitem,notApplicable
doctype,binary
document-latency-insight,metricSavings
document-title,binary
dom-size,metricSavings
dom-size-insight,numeric
duplicate-id-aria,notApplicable
duplicated-javascript,metricSavings
duplicated-javascript-insight,notApplicable
efficient-animated-content,metricSavings
empty-heading,notApplicable
errors-in-console,binary
final-screenshot,informative
first-contentful-paint,numeric
first-meaningful-paint,notApplicable
font-display,metricSavings
font-display-insight,metricSavings
font-size,notApplicable
forced-reflow-insight,numeric
form-field-multiple-labels,notApplicable
frame-title,notApplicable
geolocation-on-start,binary
has-hsts,informative
heading-order,binary
hreflang,binary
html-has-lang,binary
html-lang-valid,binary
html-xml-lang-mismatch,notApplicable
http-status-code,binary
identical-links-same-purpose,notApplicable
image-alt,binary
image-aspect-ratio,binary
image-delivery-insight,metricSavings
image-redundant-alt,binary
image-size-responsive,binary
input-button-name,notApplicable
input-image-alt,notApplicable
inspector-issues,binary
interaction-to-next-paint-insight,notApplicable
interactive,numeric
interactive-element-affordance, 
is-crawlable,binary
is-on-https,binary
js-libraries,informative
label,notApplicable
label-content-name-mismatch,notApplicable
landmark-one-main,notApplicable
largest-contentful-paint,numeric
largest-contentful-paint-element,informative
layout-shifts,informative
lcp-discovery-insight,notApplicable
lcp-lazy-loaded,notApplicable
lcp-phases-insight,informative
legacy-javascript,metricSavings
legacy-javascript-insight,notApplicable
link-in-text-block,notApplicable
link-name,binary
link-text,binary
list,binary
listitem,binary
logical-tab-order, 
long-tasks,informative
main-thread-tasks,informative
mainthread-work-breakdown,metricSavings
managed-focus, 
max-potential-fid,numeric
meta-description,binary
meta-refresh,notApplicable
meta-viewport,binary
metrics,informative
modern-http-insight,notApplicable
modern-image-formats,metricSavings
network-dependency-tree-insight,numeric
network-requests,informative
network-rtt,informative
network-server-latency,informative
no-document-write,metricSavings
non-composited-animations,notApplicable
notification-on-start,binary
object-alt,notApplicable
offscreen-content-hidden, 
offscreen-images,metricSavings
origin-isolation,notApplicable
paste-preventing-inputs,binary
prioritize-lcp-image,notApplicable
redirects,metricSavings
redirects-http,notApplicable
render-blocking-insight,metricSavings
render-blocking-resources,metricSavings
resource-summary,informative
robots-txt,notApplicable
screenshot-thumbnails,informative
script-treemap-data,informative
select-name,notApplicable
server-response-time,metricSavings
skip-link,notApplicable
speed-index,numeric
structured-data, 
tabindex,notApplicable
table-duplicate-name,notApplicable
table-fake-caption,notApplicable
target-size,binary
td-has-header,notApplicable
td-headers-attr,notApplicable
th-has-data-cells,notApplicable
third-parties-insight,informative
third-party-cookies,binary
third-party-facades,notApplicable
third-party-summary,informative
total-blocking-time,numeric
total-byte-weight,metricSavings
unminified-css,metricSavings
unminified-javascript,metricSavings
unsized-images,metricSavings
unused-css-rules,metricSavings
unused-javascript,metricSavings
use-landmarks, 
user-timings,notApplicable
uses-long-cache-ttl,metricSavings
uses-optimized-images,metricSavings
uses-passive-event-listeners,metricSavings
uses-rel-preconnect,metricSavings
uses-responsive-images,metricSavings
uses-text-compression,metricSavings
valid-lang,notApplicable
valid-source-maps,binary
video-caption,notApplicable
viewport,metricSavings
viewport-insight,numeric
visual-order-follows-dom, 
